row_id,statement_id,firm_name,source_file,source_url,click_depth_manual,indicator_code,indicator_name,page_num,score,text_extraction_status,mentions_engagement,mentions_exclusion,mentions_target_year,mentions_percentage_target,mentions_planned_actions,mentions_no_current_consideration,mentions_data_coverage,low_match_score,rule_flag_count
jyske_2025_1_1_p3,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.1,GHG emissions,3,4,high,True,True,False,False,True,False,True,False,4
jyske_2025_1_4_p4,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.4,Exposure to fossil fuel companies,4,1,high,False,False,True,False,False,False,True,True,3
jyske_2025_1_10_p7,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.10,UNGC/OECD violations,7,2,high,True,False,False,False,False,False,True,False,2
jyske_2025_1_11_p7,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.11,Lack of compliance processes/mechanisms,7,2,high,True,False,False,False,False,False,True,False,2
jyske_2025_1_14_p8,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.14,Controversial weapons,8,2,high,False,True,False,False,False,False,True,False,2
jyske_2025_1_2_p14,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.2,Carbon footprint,14,1,high,False,False,True,False,False,False,False,True,2
bankinvest_2025_1_1_p4,bankinvest_2025,BankInvest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/bankinvest_2025_pai.pdf,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf,1,1.1,GHG emissions,4,4,high,False,False,True,False,True,False,True,False,3
bankinvest_2025_1_2_p5,bankinvest_2025,BankInvest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/bankinvest_2025_pai.pdf,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf,1,1.2,Carbon footprint,5,4,high,False,False,False,False,False,False,False,False,0
bankinvest_2025_1_4_p5,bankinvest_2025,BankInvest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/bankinvest_2025_pai.pdf,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf,1,1.4,Exposure to fossil fuel companies,5,4,high,False,False,False,False,False,False,False,False,0
bankinvest_2025_1_10_p8,bankinvest_2025,BankInvest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/bankinvest_2025_pai.pdf,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf,1,1.10,UNGC/OECD violations,8,4,high,True,True,False,False,True,False,False,False,3
bankinvest_2025_1_14_p10,bankinvest_2025,BankInvest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/bankinvest_2025_pai.pdf,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf,1,1.14,Controversial weapons,10,1,high,False,True,False,False,False,False,False,True,2
nordea_funds_2025_1_1_p9,nordea_funds_2025,Nordea Funds,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_funds_2025_pai.pdf,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf,3,1.1,GHG emissions,9,4,high,True,False,True,False,True,False,True,False,4
nordea_funds_2025_1_2_p10,nordea_funds_2025,Nordea Funds,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_funds_2025_pai.pdf,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf,3,1.2,Carbon footprint,10,4,high,True,True,False,False,True,False,True,False,4
nordea_funds_2025_1_10_p15,nordea_funds_2025,Nordea Funds,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_funds_2025_pai.pdf,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf,3,1.10,UNGC/OECD violations,15,3,high,True,False,False,False,False,False,True,False,2
nordea_funds_2025_1_11_p15,nordea_funds_2025,Nordea Funds,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_funds_2025_pai.pdf,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf,3,1.11,Lack of compliance processes/mechanisms,15,2,high,True,False,False,False,False,False,True,False,2
nordea_funds_2025_1_14_p17,nordea_funds_2025,Nordea Funds,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_funds_2025_pai.pdf,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf,3,1.14,Controversial weapons,17,2,high,True,True,False,False,False,False,True,False,3
nordea_funds_2025_1_4_p23,nordea_funds_2025,Nordea Funds,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_funds_2025_pai.pdf,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf,3,1.4,Exposure to fossil fuel companies,23,2,high,True,False,False,False,False,False,True,False,2
danske_invest_2025_1_1_p6,danske_invest_2025,Danske Invest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/danske_invest_2025_pai.pdf,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf,2,1.1,GHG emissions,6,1,high,True,False,True,False,True,False,True,True,5
danske_invest_2025_1_2_p7,danske_invest_2025,Danske Invest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/danske_invest_2025_pai.pdf,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf,2,1.2,Carbon footprint,7,1,high,True,True,False,False,True,False,True,True,5
danske_invest_2025_1_4_p9,danske_invest_2025,Danske Invest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/danske_invest_2025_pai.pdf,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf,2,1.4,Exposure to fossil fuel companies,9,2,high,False,False,False,False,True,False,True,False,2
danske_invest_2025_1_10_p14,danske_invest_2025,Danske Invest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/danske_invest_2025_pai.pdf,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf,2,1.10,UNGC/OECD violations,14,5,high,True,True,False,False,True,False,True,False,4
danske_invest_2025_1_11_p15,danske_invest_2025,Danske Invest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/danske_invest_2025_pai.pdf,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf,2,1.11,Lack of compliance processes/mechanisms,15,5,high,True,False,False,False,True,False,True,False,3
danske_invest_2025_1_14_p18,danske_invest_2025,Danske Invest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/danske_invest_2025_pai.pdf,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf,2,1.14,Controversial weapons,18,4,high,False,True,False,False,True,False,True,False,3
nordea_bank_abp_2025_1_1_p3,nordea_bank_abp_2025,Nordea Bank Abp,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_bank_abp_2025_pai.pdf,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf,2,1.1,GHG emissions,3,4,high,True,False,True,False,True,False,True,False,4
nordea_bank_abp_2025_1_2_p4,nordea_bank_abp_2025,Nordea Bank Abp,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_bank_abp_2025_pai.pdf,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf,2,1.2,Carbon footprint,4,4,high,True,True,False,False,True,False,True,False,4
nordea_bank_abp_2025_1_10_p9,nordea_bank_abp_2025,Nordea Bank Abp,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_bank_abp_2025_pai.pdf,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf,2,1.10,UNGC/OECD violations,9,3,high,True,False,False,False,False,False,True,False,2
nordea_bank_abp_2025_1_11_p9,nordea_bank_abp_2025,Nordea Bank Abp,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_bank_abp_2025_pai.pdf,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf,2,1.11,Lack of compliance processes/mechanisms,9,2,high,True,False,False,False,False,False,True,False,2
nordea_bank_abp_2025_1_14_p11,nordea_bank_abp_2025,Nordea Bank Abp,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_bank_abp_2025_pai.pdf,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf,2,1.14,Controversial weapons,11,2,high,True,True,False,False,False,False,True,False,3
nordea_bank_abp_2025_1_4_p17,nordea_bank_abp_2025,Nordea Bank Abp,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/nordea_bank_abp_2025_pai.pdf,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf,2,1.4,Exposure to fossil fuel companies,17,2,high,True,False,False,False,False,False,True,False,2
