statement_id,firm_name,indicator_code,indicator_name,page_num,review_priority,review_score,top_issue,review_reason,confidence,llm_review_priority,text_extraction_status,click_depth_manual,source_url
danske_invest_2025,Danske Invest,1.4,Exposure to fossil fuel companies,9,high,3,No specific actions or targets; data coverage limitations noted,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke en tilstrækkelig klar beskrivelse af konkrete foranstaltninger; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; sammenhængen mellem indikator og beskrevne foranstaltninger fremstår ikke tilstrækkelig tydelig; beskrivelsen hviler i væsentligt omfang på generelle politikhenvisninger frem for indikatornære oplysninger; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget; forholdet bør prioriteres til manuel gennemgang",high,medium,high,2,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf
nordea_bank_abp_2025,Nordea Bank Abp,1.4,Exposure to fossil fuel companies,17,high,3,Generic policy description with limited specific actions and data coverage concerns,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; beskrivelsen hviler i væsentligt omfang på generelle politikhenvisninger frem for indikatornære oplysninger; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget; forholdet bør prioriteres til manuel gennemgang",high,medium,high,2,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf
nordea_funds_2025,Nordea Funds,1.4,Exposure to fossil fuel companies,23,high,3,Generic policy description with limited specific actions and data coverage concerns,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; beskrivelsen hviler i væsentligt omfang på generelle politikhenvisninger frem for indikatornære oplysninger; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget; forholdet bør prioriteres til manuel gennemgang",high,medium,high,3,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf
bankinvest_2025,BankInvest,1.1,GHG emissions,4,medium,2,Data quality and coverage limitations noted,"LLM’s vurdering af risiko: Middel; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,1,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf
bankinvest_2025,BankInvest,1.10,UNGC/OECD violations,8,medium,2,Actions described but no measurable target provided,LLM’s vurdering af risiko: Middel; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare,high,medium,high,1,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf
bankinvest_2025,BankInvest,1.14,Controversial weapons,10,medium,2,"No measurable target or planned actions, only a stated general prohibition","LLM’s vurdering af risiko: Lav; der er identificeret teknisk usikkerhed i det automatiske fund, eksempelvis som følge af lav dokumentlæsbarhed eller svagt tekstmatch; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare",high,low,high,1,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf
bankinvest_2025,BankInvest,1.2,Carbon footprint,5,medium,2,Low data clarity and coverage with unclear quantitative targets,"LLM’s vurdering af risiko: Middel; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",medium,medium,high,1,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf
bankinvest_2025,BankInvest,1.4,Exposure to fossil fuel companies,5,medium,2,Unclear details on specific actions and impact,LLM’s vurdering af risiko: Middel; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare,medium,medium,high,1,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf
danske_invest_2025,Danske Invest,1.1,GHG emissions,6,medium,2,Unclear direct link between actions/targets and indicator; data quality concerns,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der er identificeret teknisk usikkerhed i det automatiske fund, eksempelvis som følge af lav dokumentlæsbarhed eller svagt tekstmatch; sammenhængen mellem indikator og beskrevne foranstaltninger fremstår ikke tilstrækkelig tydelig; beskrivelsen hviler i væsentligt omfang på generelle politikhenvisninger frem for indikatornære oplysninger; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf
danske_invest_2025,Danske Invest,1.10,UNGC/OECD violations,14,medium,2,Data uncertainty and estimation issues noted,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf
danske_invest_2025,Danske Invest,1.11,Lack of compliance processes/mechanisms,15,medium,2,Low data coverage and estimation uncertainty,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf
danske_invest_2025,Danske Invest,1.14,Controversial weapons,18,medium,2,Planned refinements to exclusion policy and data coverage limitations,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf
danske_invest_2025,Danske Invest,1.2,Carbon footprint,7,medium,2,Data coverage limitations and estimation assumptions,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der er identificeret teknisk usikkerhed i det automatiske fund, eksempelvis som følge af lav dokumentlæsbarhed eller svagt tekstmatch; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.danskeinvest.dk/docs/pai_statement_en_dima.pdf
jyske_2025,Jyske Bank,1.1,GHG emissions,3,medium,2,Data coverage limitations and estimation issues,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf
jyske_2025,Jyske Bank,1.10,UNGC/OECD violations,7,medium,2,Engagement program described but no explicit targets,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare",high,medium,high,2,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf
jyske_2025,Jyske Bank,1.11,Lack of compliance processes/mechanisms,7,medium,2,Ongoing engagement program related to compliance monitoring,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare",high,medium,high,2,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf
jyske_2025,Jyske Bank,1.14,Controversial weapons,8,medium,2,Action described but no explicit target or measurable objective,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare",high,medium,high,2,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf
jyske_2025,Jyske Bank,1.2,Carbon footprint,14,medium,2,Partial data coverage and pending targets for some asset classes,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der er identificeret teknisk usikkerhed i det automatiske fund, eksempelvis som følge af lav dokumentlæsbarhed eller svagt tekstmatch; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf
jyske_2025,Jyske Bank,1.4,Exposure to fossil fuel companies,4,medium,2,Complex disclosure with multiple targets and progress metrics,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der er identificeret teknisk usikkerhed i det automatiske fund, eksempelvis som følge af lav dokumentlæsbarhed eller svagt tekstmatch",high,medium,high,2,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf
nordea_bank_abp_2025,Nordea Bank Abp,1.1,GHG emissions,3,medium,2,Low data coverage and complex target linkage,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf
nordea_bank_abp_2025,Nordea Bank Abp,1.10,UNGC/OECD violations,9,medium,2,Low data coverage and estimation issues,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf
nordea_bank_abp_2025,Nordea Bank Abp,1.11,Lack of compliance processes/mechanisms,9,medium,2,Low data coverage and estimation issues,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf
nordea_bank_abp_2025,Nordea Bank Abp,1.14,Controversial weapons,11,medium,2,Low data coverage and estimation uncertainty,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf
nordea_bank_abp_2025,Nordea Bank Abp,1.2,Carbon footprint,4,medium,2,Data coverage limitations and mixed clarity on targets and actions,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,2,https://www.nordea.com/en/doc/statement-on-principal-adverse-impacts-of-investment-decisions-on-sustainability-factors.pdf
nordea_funds_2025,Nordea Funds,1.1,GHG emissions,9,medium,2,Targets and actions stated but lack detailed implementation specifics,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover",high,medium,high,3,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf
nordea_funds_2025,Nordea Funds,1.10,UNGC/OECD violations,15,medium,2,Actions described but no measurable targets,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare",high,medium,high,3,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf
nordea_funds_2025,Nordea Funds,1.11,Lack of compliance processes/mechanisms,15,medium,2,Low data coverage and partial action details,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,3,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf
nordea_funds_2025,Nordea Funds,1.14,Controversial weapons,17,medium,2,Exclusion actions and screening process described but no future plans detailed,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke en tilstrækkelig klar beskrivelse af planlagte foranstaltninger",high,medium,high,3,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf
nordea_funds_2025,Nordea Funds,1.2,Carbon footprint,10,medium,2,Planned actions described without explicit measurable target; data coverage limitations noted,"LLM’s vurdering af risiko: Middel; erklæringen fremstår ikke umiddelbart let tilgængelig, idet klikdybden er 2 eller derover; der fremgår ikke et klart formuleret mål for indikatoren; eventuelle mål fremstår ikke tilstrækkeligt målbare; der er forhold vedrørende datadækning eller metodeusikkerhed, som kan begrænse vurderingsgrundlaget",high,medium,high,3,https://www.nordeafunds.com/sites/default/files/documents_library/Nordea%20Funds%20PAI%20June%202024_0.pdf
